event_id,user_id,timestamp,event_type,device,location,amount,status,session_id,device_is_null,location_is_null,amount_is_null,status_is_null
EVT1053,USR4020,2026-04-08 12:29:06,click,mobile,Bangalore,4013,failed,SES5978,0,0,0,0
EVT1054,USR5066,invalid_date,view,,Hyderabad,4983, ,SES8025,1,0,0,0
EVT1055,USR2625,2026-04-08 12:29:08,click,mobile,Bangalore,1828,success,SES7693,0,0,0,0
EVT1056,USR2625,2026-04-08 12:29:09,purchase,,Pune,2416,failed,SES7965,1,0,0,0
EVT1057,USR3441,2026-04-08 12:29:10,click,tablet,Mumbai,-406,success,SES8679,0,0,0,0
EVT1058,USR5460,2026-04-08 12:29:11,click,tablet,Chennai,758,success,SES4750,0,0,0,0
EVT1059,USR1339,2026-04-08 12:29:12,click,,Hyderabad,2307,failed,SES8141,1,0,0,0
EVT1060,USR2494,2026-04-08 12:29:13,error,,Hyderabad,2730,,SES7561,1,0,0,1
EVT1061,USR2494,2026-04-08 12:29:14,login,,Mumbai,1049,SUCCESS,SES1888,1,0,0,0
EVT1062,USR9167,2026-04-08 12:29:15,error,,Chennai,1767,success,SES4920,1,0,0,0
EVT1063,USR1224,2026-04-08 12:29:16,view,tablet,Delhi,1029,,SES5479,0,0,0,1
EVT1064,USR8736,2026-04-08 12:29:17,logout,mobile,Hyderabad,3242,SUCCESS,SES6568,0,0,0,0
EVT1065,USR1042,2026-04-08 12:29:18,view,,Mumbai,4908,pending,SES6446,1,0,0,0
EVT1066,USR8460,2026-04-08 12:29:19,login,tablet,Pune,2056,SUCCESS,SES7246,0,0,0,0
EVT1067,USR8460,2026-04-08 12:29:20,view,mobile,Delhi,4214,SUCCESS,SES1251,0,0,0,0
EVT1068,USR8460,2026-04-08 12:29:21,purchase,,Mumbai,2271,pending,SES8994,1,0,0,0
EVT1069,USR2121,2027-04-08 12:28:13,login,mobile,Mumbai,2454,failed,SES5906,0,0,0,0
EVT1070,USR1919,2027-04-08 12:28:13,logout,web,Bangalore,1292,success,SES7267,0,0,0,0
EVT1071,USR3344,2026-04-08 12:29:24,purchase,,Bangalore,abc,success,SES8237,1,0,0,0
EVT1072,USR5901,2026-04-08 12:29:25,view,mobile,Bangalore,2148,SUCCESS,SES6881,0,0,0,0
EVT1073,USR5901,2026-04-08 12:29:26,error,mobile,Delhi,3342,,SES9138,0,0,0,1
EVT1074,USR4770,2026-04-08 12:29:27,error,web,Pune,1657,success,SES1645,0,0,0,0
EVT1075,USR6977,2026-04-08 12:29:28,click,tablet,Delhi,2517, ,SES5465,0,0,0,0
EVT1076,USR8894,2026-04-08 12:29:29,logout,,,2874, ,SES6992,1,1,0,0
EVT1077,USR8894,invalid_date,view,tablet,Chennai,3825,,SES4830,0,0,0,1
EVT1078,USR6374,2026-04-08 12:29:31,error,,Chennai,617,failed,SES1742,1,0,0,0
EVT1079,USR9071,2026-04-08 12:29:32,error,,Mumbai,4503, ,SES3531,1,0,0,0
EVT1080,USR9017,2026-04-08 12:29:33,logout,tablet,Chennai,-190,,SES7018,0,0,0,1
EVT1081,USR9017,2026-04-08 12:29:34,logout,,Chennai,1100,success,SES6464,1,0,0,0
EVT1082,USR9017,2026-04-08 12:29:35,logout,,Chennai,1797,pending,SES3370,1,0,0,0
EVT1083,USR3858,2026-04-08 12:29:36,login,web,Hyderabad,-405,success,SES3076,0,0,0,0
EVT1084,USR2041,2026-04-08 12:29:37,click,mobile,Pune,4304,,SES9543,0,0,0,1
EVT1085,USR2041,2026-04-08 12:29:38,view,mobile,Chennai,3390,pending,SES3430,0,0,0,0
EVT1086,USR5505,invalid_date,click,,Mumbai,2763,success,SES2874,1,0,0,0
EVT1087,USR4522,2026-04-08 12:29:40,login,tablet,Mumbai,3489,pending,SES5176,0,0,0,0
EVT1088,USR4522,2026-04-08 12:29:41,logout,,Chennai,863, ,SES6400,1,0,0,0
EVT1089,USR7929,2026-04-08 12:29:42,logout,web,Pune,2456,SUCCESS,SES4674,0,0,0,0
EVT1090,USR7022,2026-04-08 12:29:43,click,,Pune,1952,,SES1430,1,0,0,1
EVT1091,USR7022,2026-04-08 12:29:44,logout,,Pune,2631,SUCCESS,SES2140,1,0,0,0
EVT1092,USR7022,2026-04-08 12:29:45,error,tablet,,3181, ,SES2391,0,1,0,0
EVT1093,USR1815,2026-04-08 12:29:46,click,mobile,Hyderabad,3573,SUCCESS,SES2816,0,0,0,0
EVT1094,USR8972,2026-04-08 12:29:47,purchase,web,,,failed,SES5186,0,1,1,0
EVT1095,USR9149,2026-04-08 12:29:48,error,tablet,Chennai,3214,SUCCESS,SES1693,0,0,0,0
EVT1096,USR2275,2026-04-08 12:29:49,view,mobile,Hyderabad,4797,failed,SES8538,0,0,0,0
EVT1097,USR2443,2026-04-08 12:29:50,purchase,tablet,Bangalore,3669,pending,SES3754,0,0,0,0
EVT1098,USR2868,invalid_date,logout,web,Chennai,2962,failed,SES5193,0,0,0,0
EVT1099,USR2234,2026-04-08 12:29:52,error,,Pune,4147,,SES6295,1,0,0,1
EVT1100,USR3473,2026-04-08 12:29:53,login,tablet,Mumbai,2580,SUCCESS,SES1616,0,0,0,0
EVT1101,USR3473,invalid_date,click,mobile,Mumbai,839, ,SES4084,0,0,0,0
EVT1102,USR3471,2026-04-08 12:29:55,login,web,Pune,2913,SUCCESS,SES8199,0,0,0,0
EVT1103,USR6962,2026-04-08 12:29:56,error,tablet,Chennai,3448,pending,SES2548,0,0,0,0
EVT1104,USR5128,2026-04-08 12:29:57,purchase,tablet,Pune,1331,,SES7421,0,0,0,1
EVT1105,USR2388,2026-04-08 12:29:58,error,,Chennai,2790,,SES7937,1,0,0,1
EVT1106,USR6060,2027-04-08 12:28:13,purchase,mobile,Delhi,4083, ,SES9626,0,0,0,0
EVT1107,USR6517,invalid_date,click,web,Pune,4992,SUCCESS,SES1715,0,0,0,0
EVT1108,USR4891,2026-04-08 12:30:01,view,web,Hyderabad,3777,,SES8218,0,0,0,1
EVT1109,USR7256,2026-04-08 12:30:02,purchase,mobile,Pune,1427,SUCCESS,SES7081,0,0,0,0
EVT1110,USR9452,2026-04-08 12:30:03,view,mobile,Bangalore,1413,SUCCESS,SES6727,0,0,0,0
EVT1111,USR7495,2026-04-08 12:30:04,error,tablet,,abc,failed,SES3254,0,1,0,0
EVT1112,USR8740,invalid_date,purchase,web,,abc,failed,SES9991,0,1,0,0
EVT1113,USR7934,2026-04-08 12:30:06,click,,Chennai,2567,success,SES9189,1,0,0,0
EVT1114,USR9443,2027-04-08 12:28:13,view,web,Pune,2486,,SES2402,0,0,0,1
EVT1115,USR9618,2026-04-08 12:30:08,error,,Hyderabad,4258,pending,SES1266,1,0,0,0
EVT1116,USR4950,2027-04-08 12:28:13,click,tablet,,,,SES3868,0,1,1,1
EVT1117,USR8840,2026-04-08 12:30:10,logout,mobile,,,failed,SES1686,0,1,1,0
EVT1118,USR7524,2026-04-08 12:30:11,login,tablet,Hyderabad,-332,success,SES7029,0,0,0,0
EVT1119,USR8204,2026-04-08 12:30:12,click,tablet,,1630,success,SES7955,0,1,0,0
EVT1120,USR3956,invalid_date,error,,Bangalore,755,,SES8272,1,0,0,1
EVT1121,USR6776,2027-04-08 12:28:13,error,web,Chennai,-327,failed,SES8179,0,0,0,0
EVT1122,USR2101,invalid_date,error,,Hyderabad,3066,pending,SES8273,1,0,0,0
EVT1123,USR9674,2026-04-08 12:30:16,view,,Mumbai,2383, ,SES2929,1,0,0,0
EVT1124,USR8311,2026-04-08 12:30:17,logout,,Chennai,4123,,SES6236,1,0,0,1
EVT1125,USR9882,2026-04-08 12:30:18,purchase,,Bangalore,1390,success,SES4292,1,0,0,0
EVT1126,USR9882,2026-04-08 12:30:19,login,mobile,Hyderabad,3122,SUCCESS,SES8842,0,0,0,0
EVT1127,USR2208,2026-04-08 12:30:20,click,,Bangalore,707,failed,SES8088,1,0,0,0
EVT1128,USR3034,2026-04-08 12:30:21,click,tablet,,1426,success,SES5105,0,1,0,0
EVT1129,USR5496,2026-04-08 12:30:22,logout,web,Pune,-329, ,SES6531,0,0,0,0
EVT1130,USR5496,2026-04-08 12:30:23,click,mobile,Mumbai,4824,,SES9938,0,0,0,1
EVT1131,USR8912,2026-04-08 12:30:24,view,,Mumbai,3426,SUCCESS,SES4342,1,0,0,0
EVT1132,USR6231,2026-04-08 12:30:25,purchase,web,Mumbai,3366,success,SES5382,0,0,0,0
EVT1133,USR1829,2026-04-08 12:30:26,purchase,,Pune,3525,pending,SES4110,1,0,0,0
EVT1134,USR9433,2026-04-08 12:30:27,logout,web,Delhi,-484,pending,SES1797,0,0,0,0
EVT1135,USR9108,invalid_date,logout,tablet,Pune,abc,pending,SES7606,0,0,0,0
EVT1136,USR4189,2026-04-08 12:30:29,click,,Chennai,3264,failed,SES2584,1,0,0,0
EVT1137,USR6555,2026-04-08 12:30:30,login,mobile,Bangalore,1281,,SES6456,0,0,0,1
EVT1138,USR3440,2026-04-08 12:30:31,click,tablet,Delhi,2786,pending,SES9311,0,0,0,0
EVT1139,USR3440,2026-04-08 12:30:32,error,mobile,Delhi,2813,SUCCESS,SES5350,0,0,0,0
EVT1140,USR4728,2026-04-08 12:30:33,view,web,,1496,,SES4968,0,1,0,1
EVT1141,USR2800,invalid_date,click,,,3530,,SES2020,1,1,0,1
EVT1142,USR6325,2026-04-08 12:30:35,purchase,,Hyderabad,3186,,SES5331,1,0,0,1
EVT1143,USR5038,2026-04-08 12:30:36,view,tablet,Mumbai,2538,pending,SES5480,0,0,0,0
EVT1144,USR9899,2026-04-08 12:30:37,purchase,mobile,Hyderabad,2927,SUCCESS,SES5201,0,0,0,0
EVT1145,USR9824,2026-04-08 12:30:38,logout,mobile,Pune,2325, ,SES4697,0,0,0,0
EVT1146,USR7771,2027-04-08 12:28:13,error,,Mumbai,-282,,SES4267,1,0,0,1
EVT1147,USR5676,2026-04-08 12:30:40,login,web,Mumbai,832,failed,SES1595,0,0,0,0
EVT1148,USR9116,2026-04-08 12:30:41,login,tablet,Hyderabad,abc,SUCCESS,SES9901,0,0,0,0
EVT1149,USR3198,2026-04-08 12:30:42,error,tablet,Pune,1679,failed,SES1230,0,0,0,0
EVT1150,USR4164,2026-04-08 12:30:43,error,mobile,Bangalore,3421,failed,SES8822,0,0,0,0
EVT1151,USR5272,2026-04-08 12:30:44,login,tablet,Pune,2287,pending,SES4871,0,0,0,0
EVT1152,USR2936,invalid_date,error,mobile,Pune,4216,pending,SES7021,0,0,0,0
EVT1153,USR3188,2026-04-08 12:30:46,click,web,,3160,failed,SES2341,0,1,0,0
EVT1154,USR3188,2026-04-08 12:30:47,click,web,Bangalore,605,pending,SES9525,0,0,0,0
EVT1155,USR3188,2026-04-08 12:30:48,login,,Mumbai,555,,SES6049,1,0,0,1
EVT1156,USR1049,2026-04-08 12:30:49,login,mobile,Mumbai,471,success,SES5703,0,0,0,0
EVT1157,USR7887,2026-04-08 12:30:50,error,,Bangalore,3774,,SES6697,1,0,0,1
EVT1158,USR7439,2026-04-08 12:30:51,view,,Mumbai,1924, ,SES7214,1,0,0,0
EVT1159,USR6671,2026-04-08 12:30:52,login,web,Bangalore,-339,success,SES2653,0,0,0,0
EVT1160,USR6671,2026-04-08 12:30:53,login,web,Delhi,3695,pending,SES4836,0,0,0,0
EVT1161,USR6224,2026-04-08 12:30:54,click,web,Mumbai,2726,pending,SES5508,0,0,0,0
EVT1162,USR3869,invalid_date,click,tablet,Pune,-177,SUCCESS,SES7688,0,0,0,0
EVT1163,USR9813,2026-04-08 12:30:56,login,,Mumbai,2563,SUCCESS,SES9683,1,0,0,0
EVT1164,USR4331,2026-04-08 12:30:57,logout,mobile,Hyderabad,3784,SUCCESS,SES1647,0,0,0,0
EVT1165,USR4555,2026-04-08 12:30:58,logout,mobile,Pune,2827,SUCCESS,SES4974,0,0,0,0
EVT1166,USR7498,2026-04-08 12:30:59,purchase,tablet,Delhi,2418,SUCCESS,SES8635,0,0,0,0
EVT1167,USR8692,invalid_date,logout,web,Chennai,1764,pending,SES7841,0,0,0,0
EVT1168,USR4768,2026-04-08 12:31:01,view,,Mumbai,4190,failed,SES6770,1,0,0,0
EVT1169,USR9000,2026-04-08 12:31:02,error,mobile,,581,success,SES7756,0,1,0,0
EVT1170,USR9000,2026-04-08 12:31:03,click,,Pune,4242,SUCCESS,SES1257,1,0,0,0
EVT1171,USR9000,invalid_date,error,,,2350,failed,SES2753,1,1,0,0
EVT1172,USR4948,2026-04-08 12:31:05,view,,Delhi,3003,failed,SES4700,1,0,0,0
EVT1173,USR2320,2026-04-08 12:31:06,error,mobile,Pune,-195,failed,SES2354,0,0,0,0
EVT1174,USR6427,2026-04-08 12:31:07,error,,Mumbai,881,pending,SES1762,1,0,0,0
EVT1175,USR5593,2026-04-08 12:31:08,logout,,Bangalore,,,SES7525,1,0,1,1
EVT1176,USR4939,2026-04-08 12:31:09,error,mobile,Delhi,4528,,SES6666,0,0,0,1
EVT1177,USR8161,invalid_date,purchase,,Mumbai,,failed,SES6829,1,0,1,0
EVT1178,USR4043,2026-04-08 12:31:11,login,mobile,Hyderabad,802,failed,SES7225,0,0,0,0
EVT1179,USR7383,2026-04-08 12:31:12,login,web,Chennai,142,failed,SES8061,0,0,0,0
EVT1180,USR7685,2026-04-08 12:31:13,login,tablet,Mumbai,-307,SUCCESS,SES2387,0,0,0,0
EVT1181,USR4977,2026-04-08 12:31:14,logout,mobile,Bangalore,3218,SUCCESS,SES5521,0,0,0,0
EVT1182,USR2260,2026-04-08 12:31:15,purchase,mobile,Mumbai,4161,pending,SES7224,0,0,0,0
EVT1183,USR6484,2026-04-08 12:31:16,logout,,Hyderabad,4969,failed,SES7524,1,0,0,0
EVT1184,USR9044,2026-04-08 12:31:17,login,,Bangalore,2769, ,SES9939,1,0,0,0
EVT1185,USR1440,2026-04-08 12:31:18,view,,Bangalore,1817,,SES5961,1,0,0,1
EVT1186,USR7932,2026-04-08 12:31:19,error,,Delhi,4998,success,SES6890,1,0,0,0
EVT1187,USR2392,2026-04-08 12:31:20,error,,,3008,pending,SES8052,1,1,0,0
EVT1188,USR4637,2027-04-08 12:28:13,view,,Pune,4855, ,SES3469,1,0,0,0
EVT1189,USR2712,2027-04-08 12:28:13,purchase,tablet,Mumbai,803,failed,SES9537,0,0,0,0
EVT1190,USR8178,2026-04-08 12:31:23,purchase,mobile,Pune,650,failed,SES4996,0,0,0,0
EVT1191,USR6422,2026-04-08 12:31:24,error,,Mumbai,1999,success,SES4232,1,0,0,0
EVT1192,USR1072,2026-04-08 12:31:25,purchase,tablet,Bangalore,612,SUCCESS,SES2867,0,0,0,0
EVT1193,USR9646,2026-04-08 12:31:26,view,,Bangalore,3283,,SES5873,1,0,0,1
EVT1194,USR3194,2026-04-08 12:31:27,view,,Bangalore,1058, ,SES7286,1,0,0,0
EVT1195,USR9804,2026-04-08 12:31:28,purchase,,Delhi,1519,success,SES6882,1,0,0,0
EVT1196,USR4196,2026-04-08 12:31:29,error,,Mumbai,4240,failed,SES2354,1,0,0,0
EVT1197,USR4613,2026-04-08 12:31:30,view,,Delhi,4504,success,SES2871,1,0,0,0
EVT1198,USR7010,2026-04-08 12:31:31,error,web,Hyderabad,3715,success,SES8368,0,0,0,0
EVT1199,USR2425,2026-04-08 12:31:32,error,,Pune,2041,SUCCESS,SES3719,1,0,0,0
EVT1200,USR4390,2026-04-08 12:31:33,error,tablet,Hyderabad,4460, ,SES5380,0,0,0,0
EVT1201,USR2560,2026-04-08 12:31:34,logout,web,Bangalore,3471,failed,SES6277,0,0,0,0
EVT1202,USR7434,2026-04-08 12:31:35,login,,Delhi,2301,,SES5558,1,0,0,1
EVT1203,USR8449,2026-04-08 12:31:36,view,tablet,,120,success,SES9756,0,1,0,0
EVT1204,USR4470,2026-04-08 12:31:37,view,tablet,Pune,2423,success,SES1752,0,0,0,0
EVT1205,USR4470,invalid_date,logout,web,Pune,abc,pending,SES3604,0,0,0,0
EVT1206,USR2529,2026-04-08 12:31:39,error,tablet,Pune,3146,,SES4836,0,0,0,1
EVT1207,USR2529,2027-04-08 12:28:13,login,tablet,,1187,success,SES7919,0,1,0,0
EVT1208,USR4751,2026-04-08 12:31:41,view,web,Pune,939,,SES3340,0,0,0,1
EVT1209,USR1138,invalid_date,view,,Pune,2976,SUCCESS,SES4559,1,0,0,0
EVT1210,USR2646,invalid_date,logout,tablet,Pune,3245,success,SES5065,0,0,0,0
EVT1211,USR5668,2026-04-08 12:31:44,view,tablet,Pune,2571,success,SES4921,0,0,0,0
EVT1212,USR9185,2026-04-08 12:31:45,click,,Hyderabad,198, ,SES3830,1,0,0,0
EVT1213,USR9185,2026-04-08 12:31:46,view,,Hyderabad,2247,,SES9209,1,0,0,1
EVT1214,USR9185,2026-04-08 12:31:47,logout,web,Delhi,1350,pending,SES7401,0,0,0,0
EVT1215,USR2083,2026-04-08 12:31:48,click,,Chennai,-45,pending,SES3877,1,0,0,0
EVT1216,USR1185,2026-04-08 12:31:49,purchase,web,Pune,4384,pending,SES2934,0,0,0,0
EVT1217,USR8034,2027-04-08 12:28:13,login,,,4823, ,SES3734,1,1,0,0
EVT1218,USR2685,2026-04-08 12:31:51,login,web,Chennai,,SUCCESS,SES6963,0,0,1,0
EVT1219,USR1579,2026-04-08 12:31:52,purchase,tablet,,3535,success,SES7108,0,1,0,0
EVT1220,USR1862,2026-04-08 12:31:53,purchase,tablet,Hyderabad,476,success,SES8483,0,0,0,0
EVT1221,USR4287,invalid_date,logout,,,2087,failed,SES3466,1,1,0,0
EVT1222,USR4287,invalid_date,error,tablet,Chennai,abc,failed,SES9680,0,0,0,0
EVT1223,USR1981,2026-04-08 12:31:56,view,tablet,Mumbai,-472,,SES2391,0,0,0,1
EVT1224,USR1981,2026-04-08 12:31:57,purchase,,Pune,3663,,SES6345,1,0,0,1
EVT1225,USR2223,2026-04-08 12:31:58,purchase,,Chennai,4889, ,SES6870,1,0,0,0
EVT1226,USR6051,2026-04-08 12:31:59,error,,Chennai,840,failed,SES6370,1,0,0,0
EVT1227,USR6051,2026-04-08 12:32:00,view,,Delhi,,,SES5093,1,0,1,1
EVT1228,USR2669,invalid_date,view,tablet,Pune,-400,,SES2376,0,0,0,1
EVT1229,USR2669,2026-04-08 12:32:02,purchase,mobile,Chennai,3732,SUCCESS,SES1829,0,0,0,0
EVT1230,USR7471,2026-04-08 12:32:03,purchase,,Bangalore,3595,success,SES5026,1,0,0,0
EVT1231,USR7471,2026-04-08 12:32:04,logout,,,1224,success,SES7266,1,1,0,0
EVT1232,USR9921,2026-04-08 12:32:05,purchase,,Bangalore,4733,success,SES5602,1,0,0,0
EVT1233,USR8728,invalid_date,purchase,,,2006,,SES1916,1,1,0,1
EVT1234,USR7363,2026-04-08 12:32:07,error,tablet,Delhi,1523,success,SES6761,0,0,0,0
EVT1235,USR4084,2026-04-08 12:32:08,login,web,Delhi,,failed,SES1326,0,0,1,0
EVT1236,USR4300,2027-04-08 12:28:13,login,web,Delhi,1553,,SES3320,0,0,0,1
EVT1237,USR6978,2026-04-08 12:32:10,logout,,,3340,,SES8982,1,1,0,1
EVT1238,USR6846,2026-04-08 12:32:11,logout,mobile,Pune,1536, ,SES7415,0,0,0,0
EVT1239,USR1530,2026-04-08 12:32:12,purchase,mobile,Bangalore,1909,pending,SES6234,0,0,0,0
EVT1240,USR2453,2026-04-08 12:32:13,login,tablet,Hyderabad,2850,success,SES1020,0,0,0,0
EVT1241,USR8179,invalid_date,login,,,3491, ,SES4695,1,1,0,0
EVT1242,USR1547,2027-04-08 12:28:13,login,,Chennai,-88,pending,SES8909,1,0,0,0
EVT1243,USR3703,2026-04-08 12:32:16,error,,Pune,538,,SES9849,1,0,0,1
EVT1244,USR3703,2026-04-08 12:32:17,view,mobile,Hyderabad,4602,,SES8869,0,0,0,1
EVT1245,USR3798,2027-04-08 12:28:13,view,tablet,Chennai,3979,,SES9914,0,0,0,1
EVT1246,USR7249,2026-04-08 12:32:19,click,mobile,Bangalore,2256,,SES2584,0,0,0,1
EVT1247,USR6632,invalid_date,click,,Delhi,4931,,SES8779,1,0,0,1
EVT1248,USR6632,2026-04-08 12:32:21,error,,Bangalore,384,success,SES8357,1,0,0,0
EVT1249,USR4471,2026-04-08 12:32:22,error,web,,-350, ,SES5225,0,1,0,0
EVT1250,USR4471,2026-04-08 12:32:23,login,,Delhi,4622, ,SES7874,1,0,0,0
EVT1251,USR2641,2026-04-08 12:32:24,view,tablet,Mumbai,927,,SES8955,0,0,0,1
EVT1252,USR3821,2026-04-08 12:32:25,login,,Hyderabad,-456,pending,SES1331,1,0,0,0
EVT1253,USR6094,2026-04-08 12:32:26,error,,,904,pending,SES5414,1,1,0,0
EVT1254,USR2462,2026-04-08 12:32:27,login,,,3435,failed,SES2075,1,1,0,0
EVT1255,USR3222,2026-04-08 12:32:28,login,web,Chennai,-99,SUCCESS,SES1828,0,0,0,0
EVT1256,USR5488,2026-04-08 12:32:29,purchase,,Delhi,,SUCCESS,SES3909,1,0,1,0
EVT1257,USR6730,2026-04-08 12:32:30,view,mobile,Bangalore,2218, ,SES4511,0,0,0,0
EVT1258,USR4387,2026-04-08 12:32:31,view,web,Pune,264,failed,SES1138,0,0,0,0
EVT1259,USR6004,2026-04-08 12:32:32,purchase,web,Mumbai,2355,pending,SES9530,0,0,0,0
EVT1260,USR6004,2026-04-08 12:32:33,error,mobile,Mumbai,3165,success,SES6509,0,0,0,0
EVT1261,USR5536,2026-04-08 12:32:34,login,,Mumbai,2547,,SES6236,1,0,0,1
EVT1262,USR9148,2026-04-08 12:32:35,click,web,Hyderabad,3528,,SES4643,0,0,0,1
EVT1263,USR8794,2026-04-08 12:32:36,click,web,Hyderabad,4255,success,SES8713,0,0,0,0
EVT1264,USR3999,2026-04-08 12:32:37,view,tablet,Hyderabad,831,pending,SES5817,0,0,0,0
EVT1265,USR1879,2026-04-08 12:32:38,error,,Delhi,683,pending,SES7768,1,0,0,0
EVT1266,USR3470,invalid_date,logout,tablet,,3452,,SES3954,0,1,0,1
EVT1267,USR3897,2026-04-08 12:32:40,logout,,,3803,success,SES3120,1,1,0,0
EVT1268,USR7609,2026-04-08 12:32:41,purchase,,Bangalore,-103,success,SES1067,1,0,0,0
